A_HGA,ID
0,1
43,2
43,3
40,4
0,5
39,6
43,7
43,8
0,9
0,10
43,11
43,12
43,13
40,14
0,15
0,16
39,17
39,18
40,19
39,20
39,21
0,22
0,23
43,24
43,25
0,26
0,27
43,28
43,29
0,30
0,31
39,32
0,33
40,34
43,35
39,36
39,37
0,38
0,39
39,40
39,41
39,42
39,43
34,44
40,45
0,46
39,47
39,48
39,49
39,50
0,51
39,52
43,53
43,54
43,55
39,56
43,57
43,58
39,59
39,60
39,61
39,62
40,63
39,64
0,65
0,66
43,67
39,68
39,69
40,70
39,71
39,72
39,73
0,74
0,75
40,76
39,77
39,78
46,79
43,80
39,81
39,82
39,83
40,84
0,85
0,86
0,87
0,88
0,89
0,90
39,91
39,92
39,93
39,94
39,95
39,96
43,97
39,98
39,99
39,100
0,101
0,102
0,103
43,104
39,105
39,106
39,107
39,108
39,109
0,110
0,111
0,112
43,113
43,114
43,115
39,116
39,117
39,118
39,119
0,120
39,121
39,122
0,123
0,124
39,125
43,126
39,127
36,128
0,129
39,130
39,131
39,132
0,133
39,134
39,135
0,136
39,137
39,138
0,139
0,140
40,141
39,142
39,143
0,144
39,145
39,146
43,147
39,148
0,149
39,150
43,151
39,152
39,153
39,154
39,155
0,156
39,157
40,158
39,159
40,160
39,161
39,162
39,163
39,164
40,165
39,166
39,167
39,168
0,169
39,170
39,171
39,172
39,173
43,174
43,175
43,176
43,177
39,178
40,179
39,180
43,181
39,182
43,183
43,184
39,185
43,186
43,187
0,188
40,189
43,190
43,191
43,192
39,193
43,194
43,195
43,196
40,197
39,198
39,199
39,200
43,201
43,202
43,203
39,204
39,205
43,206
43,207
43,208
43,209
43,210
39,211
43,212
39,213
39,214
39,215
43,216
0,217
43,218
0,219
43,220
43,221
43,222
39,223
43,224
39,225
39,226
43,227
43,228
0,229
43,230
39,231
43,232
43,233
39,234
43,235
39,236
39,237
43,238
39,239
43,240
43,241
0,242
0,243
0,244
43,245
39,246
39,247
39,248
43,249
43,250
39,251
39,252
40,253
43,254
39,255
39,256
43,257
43,258
40,259
39,260
39,261
39,262
40,263
43,264
43,265
34,266
0,267
0,268
43,269
43,270
39,271
39,272
40,273
39,274
43,275
39,276
43,277
39,278
39,279
43,280
39,281
0,282
39,283
40,284
39,285
35,286
43,287
43,288
39,289
39,290
0,291
39,292
0,293
39,294
43,295
40,296
0,297
0,298
39,299
39,300
0,301
0,302
0,303
0,304
39,305
43,306
39,307
43,308
39,309
43,310
40,311
39,312
44,313
43,314
0,315
39,316
43,317
40,318
39,319
43,320
43,321
43,322
43,323
40,324
43,325
43,326
43,327
39,328
0,329
43,330
39,331
39,332
0,333
43,334
39,335
43,336
43,337
43,338
0,339
0,340
43,341
39,342
39,343
43,344
39,345
0,346
0,347
39,348
39,349
39,350
0,351
39,352
39,353
39,354
39,355
43,356
39,357
43,358
43,359
43,360
39,361
39,362
0,363
43,364
43,365
43,366
39,367
39,368
43,369
43,370
39,371
39,372
39,373
0,374
39,375
39,376
39,377
43,378
43,379
39,380
43,381
39,382
0,383
0,384
39,385
43,386
43,387
43,388
39,389
0,390
0,391
43,392
43,393
39,394
39,395
39,396
39,397
39,398
43,399
40,400
0,401
0,402
39,403
39,404
0,405
39,406
43,407
43,408
39,409
0,410
39,411
43,412
43,413
40,414
39,415
39,416
43,417
39,418
39,419
43,420
43,421
39,422
43,423
43,424
43,425
39,426
39,427
43,428
39,429
39,430
43,431
39,432
39,433
43,434
43,435
43,436
43,437
43,438
40,439
43,440
43,441
43,442
39,443
39,444
43,445
39,446
39,447
40,448
39,449
43,450
43,451
39,452
0,453
39,454
39,455
0,456
0,457
39,458
43,459
36,460
39,461
43,462
43,463
43,464
0,465
0,466
0,467
43,468
43,469
39,470
34,471
40,472
43,473
39,474
43,475
39,476
43,477
43,478
39,479
43,480
43,481
43,482
0,483
43,484
39,485
39,486
39,487
39,488
0,489
39,490
44,491
43,492
39,493
0,494
43,495
43,496
43,497
43,498
43,499
43,500
43,501
43,502
0,503
39,504
43,505
39,506
43,507
39,508
39,509
39,510
43,511
43,512
46,513
43,514
43,515
43,516
39,517
0,518
43,519
43,520
39,521
43,522
43,523
43,524
43,525
39,526
39,527
43,528
0,529
0,530
43,531
0,532
0,533
0,534
39,535
39,536
43,537
43,538
43,539
39,540
0,541
0,542
0,543
0,544
39,545
43,546
39,547
43,548
39,549
39,550
39,551
0,552
0,553
39,554
0,555
0,556
39,557
39,558
39,559
39,560
39,561
39,562
39,563
39,564
39,565
0,566
39,567
0,568
43,569
0,570
0,571
39,572
0,573
0,574
39,575
0,576
0,577
43,578
39,579
0,580
0,581
43,582
39,583
43,584
43,585
0,586
0,587
43,588
43,589
43,590
43,591
43,592
0,593
0,594
43,595
39,596
43,597
43,598
43,599
43,600
43,601
0,602
0,603
43,604
36,605
0,606
43,607
43,608
43,609
40,610
39,611
39,612
34,613
39,614
43,615
43,616
43,617
43,618
39,619
43,620
43,621
0,622
0,623
40,624
43,625
39,626
43,627
39,628
39,629
39,630
39,631
39,632
39,633
44,634
39,635
40,636
0,637
43,638
39,639
40,640
0,641
39,642
43,643
39,644
43,645
43,646
43,647
39,648
43,649
39,650
39,651
43,652
43,653
0,654
0,655
39,656
39,657
43,658
43,659
43,660
0,661
0,662
0,663
43,664
43,665
43,666
39,667
43,668
43,669
0,670
0,671
39,672
44,673
39,674
43,675
0,676
44,677
43,678
43,679
43,680
39,681
0,682
0,683
43,684
39,685
39,686
43,687
43,688
43,689
39,690
40,691
39,692
39,693
0,694
0,695
0,696
39,697
39,698
43,699
43,700
39,701
40,702
43,703
39,704
39,705
0,706
0,707
0,708
39,709
39,710
43,711
39,712
39,713
39,714
39,715
39,716
43,717
43,718
39,719
43,720
0,721
0,722
0,723
0,724
43,725
43,726
0,727
39,728
43,729
39,730
43,731
43,732
46,733
43,734
43,735
39,736
0,737
0,738
39,739
43,740
0,741
0,742
0,743
0,744
39,745
39,746
39,747
39,748
0,749
0,750
0,751
39,752
0,753
0,754
39,755
39,756
43,757
39,758
0,759
43,760
43,761
39,762
43,763
43,764
0,765
0,766
39,767
39,768
0,769
0,770
39,771
39,772
43,773
39,774
39,775
0,776
0,777
39,778
39,779
43,780
39,781
40,782
39,783
39,784
39,785
0,786
0,787
0,788
39,789
39,790
39,791
39,792
43,793
39,794
39,795
39,796
35,797
43,798
0,799
39,800
43,801
39,802
39,803
39,804
39,805
39,806
39,807
43,808
39,809
39,810
39,811
39,812
39,813
0,814
0,815
0,816
34,817
43,818
43,819
39,820
0,821
0,822
43,823
43,824
39,825
43,826
43,827
43,828
39,829
0,830
39,831
43,832
43,833
39,834
43,835
40,836
43,837
43,838
39,839
43,840
43,841
0,842
43,843
43,844
39,845
43,846
39,847
39,848
39,849
39,850
43,851
39,852
39,853
39,854
0,855
0,856
39,857
40,858
0,859
0,860
0,861
0,862
39,863
43,864
39,865
39,866
39,867
43,868
43,869
0,870
0,871
39,872
46,873
39,874
40,875
43,876
43,877
43,878
43,879
42,880
43,881
39,882
43,883
43,884
39,885
39,886
39,887
43,888
43,889
43,890
43,891
43,892
40,893
39,894
43,895
39,896
43,897
0,898
0,899
0,900
0,901
43,902
40,903
